timestamp,EVCS_1_occupancy,EVCS_1_volume_kwh,EVCS_1_duration_min,EVCS_1_e_price,EVCS_1_s_price,EVCS_1_renewable_kw,EVCS_1_ess_soc,EVCS_2_occupancy,EVCS_2_volume_kwh,EVCS_2_duration_min,EVCS_2_e_price,EVCS_2_s_price,EVCS_2_renewable_kw,EVCS_2_ess_soc,EVCS_3_occupancy,EVCS_3_volume_kwh,EVCS_3_duration_min,EVCS_3_e_price,EVCS_3_s_price,EVCS_3_renewable_kw,EVCS_3_ess_soc,EVCS_4_occupancy,EVCS_4_volume_kwh,EVCS_4_duration_min,EVCS_4_e_price,EVCS_4_s_price,EVCS_4_renewable_kw,EVCS_4_ess_soc,EVCS_5_occupancy,EVCS_5_volume_kwh,EVCS_5_duration_min,EVCS_5_e_price,EVCS_5_s_price,EVCS_5_renewable_kw,EVCS_5_ess_soc,EVCS_6_occupancy,EVCS_6_volume_kwh,EVCS_6_duration_min,EVCS_6_e_price,EVCS_6_s_price,EVCS_6_renewable_kw,EVCS_6_ess_soc,EVCS_7_occupancy,EVCS_7_volume_kwh,EVCS_7_duration_min,EVCS_7_e_price,EVCS_7_s_price,EVCS_7_renewable_kw,EVCS_7_ess_soc,EVCS_8_occupancy,EVCS_8_volume_kwh,EVCS_8_duration_min,EVCS_8_e_price,EVCS_8_s_price,EVCS_8_renewable_kw,EVCS_8_ess_soc,EVCS_9_occupancy,EVCS_9_volume_kwh,EVCS_9_duration_min,EVCS_9_e_price,EVCS_9_s_price,EVCS_9_renewable_kw,EVCS_9_ess_soc
2024-01-01 00:00:00,2.0,57.6478,25.0696,0.1,0.15,0.265,4500.0,4.0,80.6695,8.067,0.1,0.2,0.3533,4500.0,0.0,0.0,0.0,0.1,0.18,0.3533,4500.0,0.0,0.0,0.0,0.1,0.22,0.3828,4500.0,0.0,0.0,0.0,0.1,0.19,0.4122,4500.0,0.0,0.0,0.0,0.1,0.16,0.2944,4500.0,0.0,0.0,0.0,0.1,0.21,0.4416,4500.0,0.0,0.0,0.0,0.1,0.17,0.2355,4500.0,0.0,0.0,0.0,0.1,0.14,0.265,4500.0
2024-01-01 01:00:00,11.0,381.6005,23.9018,0.1,0.15,1.7224,0.0,4.0,102.3098,10.231,0.1,0.2,2.2966,0.0,3.0,99.4635,23.7818,0.1,0.18,2.2966,0.0,0.0,0.0,0.0,0.1,0.22,2.4879,0.0,1.0,30.24,12.096,0.1,0.19,2.6793,0.0,0.0,0.0,0.0,0.1,0.16,1.9138,0.0,4.0,161.4456,39.1846,0.1,0.21,2.8707,0.0,4.0,102.527,10.2527,0.1,0.17,1.531,0.0,3.0,72.5373,9.6716,0.1,0.14,1.7224,0.0
2024-01-01 02:00:00,16.0,636.856,17.8939,0.1,0.15,7.4638,0.0,8.0,287.9958,14.3998,0.1,0.2,9.9518,0.0,1.0,39.9,45.0,0.1,0.18,9.9518,0.0,3.0,118.5633,26.3284,0.1,0.22,10.7811,0.0,4.0,158.5848,31.6385,0.1,0.19,11.6104,0.0,7.0,267.42,40.3326,0.1,0.16,8.2931,0.0,6.0,252.6266,27.3618,0.1,0.21,12.4397,0.0,6.0,194.4117,12.9608,0.1,0.17,6.6345,0.0,8.0,277.1872,24.5744,0.1,0.14,7.4638,0.0
2024-01-01 03:00:00,18.0,585.6161,19.2492,0.1,0.15,24.2574,0.0,15.0,476.7834,14.5196,0.1,0.2,32.3432,0.0,2.0,101.2959,20.2592,0.1,0.18,32.3432,0.0,6.0,231.7,45.0,0.1,0.22,35.0385,0.0,14.0,687.0814,23.6395,0.1,0.19,37.7337,0.0,7.0,323.2784,42.4045,0.1,0.16,26.9527,0.0,7.0,289.659,42.1634,0.1,0.21,40.429,0.0,5.0,183.6757,14.6941,0.1,0.17,21.5621,0.0,4.0,190.097,32.5497,0.1,0.14,24.2574,0.0
2024-01-01 04:00:00,36.0,1255.2305,18.6392,0.1,0.15,63.0693,0.0,22.0,699.8596,13.9556,0.1,0.2,84.0923,0.0,9.0,392.7147,24.1873,0.1,0.18,84.0923,0.0,6.0,276.4024,37.1335,0.1,0.22,91.1,0.0,10.0,412.4924,16.4997,0.1,0.19,98.1077,0.0,13.0,576.9701,39.316,0.1,0.16,70.077,0.0,15.0,671.1584,29.1589,0.1,0.21,105.1154,0.0,10.0,351.4678,14.0587,0.1,0.17,56.0616,0.0,9.0,349.8114,31.3072,0.1,0.14,63.0693,0.0
2024-01-01 05:00:00,55.0,1949.452,19.7822,0.1,0.15,136.65,0.0,57.0,1652.3936,13.5305,0.1,0.2,182.2001,0.0,14.0,599.2047,32.0001,0.1,0.18,182.2001,0.0,7.0,302.4,45.0,0.1,0.22,197.3834,0.0,10.0,392.4328,24.6613,0.1,0.19,212.5668,0.0,15.0,732.8764,33.8047,0.1,0.16,151.8334,0.0,14.0,654.2116,34.666,0.1,0.21,227.7501,0.0,16.0,595.3291,16.5757,0.1,0.17,121.4667,0.0,17.0,699.6466,30.0787,0.1,0.14,136.65,0.0
2024-01-01 06:00:00,112.0,4090.6277,19.209,0.1,0.15,253.7787,0.0,96.0,2926.937,13.0418,0.1,0.2,338.3716,0.0,34.0,1300.845,19.6652,0.1,0.18,338.3716,0.0,28.0,1278.4979,35.7057,0.1,0.22,366.5692,0.0,18.0,756.1996,21.7844,0.1,0.19,394.7668,0.0,30.0,1333.9426,40.9686,0.1,0.16,281.9763,0.0,45.0,1960.8234,33.9344,0.1,0.21,422.9645,0.0,52.0,1794.1318,15.3633,0.1,0.17,225.581,0.0,49.0,1922.0013,24.231,0.1,0.14,253.7787,0.0
2024-01-01 07:00:00,204.0,7258.897,17.478,0.1,0.15,412.3904,0.0,155.0,4886.4404,14.9067,0.1,0.2,549.8538,0.0,44.0,1622.5079,21.4455,0.1,0.18,549.8538,0.0,51.0,2227.595,36.7803,0.1,0.22,595.675,0.0,63.0,2805.7458,25.1685,0.1,0.19,641.4961,0.0,48.0,2141.8733,39.3589,0.1,0.16,458.2115,0.0,70.0,2905.2349,32.4168,0.1,0.21,687.3172,0.0,79.0,2680.672,13.573,0.1,0.17,366.5692,0.0,63.0,2450.1597,23.8048,0.1,0.14,412.3904,0.0
2024-01-01 08:00:00,293.0,10093.525,17.8056,0.18,0.15,595.675,0.0,280.0,8928.584,14.2198,0.18,0.2,794.2333,0.0,62.0,2323.0515,21.7752,0.18,0.18,794.2333,0.0,89.0,4013.6523,37.3598,0.18,0.22,860.4194,0.0,102.0,4400.8926,25.3709,0.18,0.19,926.6055,0.0,95.0,4484.9116,38.8796,0.18,0.16,661.8611,0.0,113.0,4862.9443,32.7541,0.18,0.21,992.7916,0.0,154.0,5231.6294,14.4679,0.18,0.17,529.4888,0.0,106.0,4083.0032,23.2442,0.18,0.14,595.675,0.0
2024-01-01 09:00:00,347.0,12288.649,18.0745,0.18,0.15,774.3774,0.0,358.0,11494.829,14.3906,0.18,0.2,1032.5033,0.0,124.0,4928.167,25.4999,0.18,0.18,1032.5033,0.0,125.0,5630.5205,36.3086,0.18,0.22,1118.5452,0.0,147.0,6204.019,25.9549,0.18,0.19,1204.5872,0.0,191.0,8623.332,39.545,0.18,0.16,860.4194,0.0,185.0,7841.0654,32.7707,0.18,0.21,1290.6292,0.0,212.0,7092.74,14.2767,0.18,0.17,688.3355,0.0,173.0,6864.6777,24.8957,0.18,0.14,774.3774,0.0
